10001|a2|Manan noqaqa rikunichu
10002|a2|Sapanka wawan ishkay chakiyuq hinallataq ishkay makiyuq
10003|a2|Chay ruwayta mana chaskisqachu millaypunin chayqa consejo viceministro nisqakunamanta hamuq.
10004|a5|Llaqta ayllukuna sapa kuti rimapakunku ruwayninkumanta.
10005|a2|Rimasqaytam ch´uyanchasaq
10006|a1|Turukunaqa ishkay waqrayuqmi, tarukakuna ichaqa tawa waqrayuq kanku
10007|a1|Kishkan makiyman haykurun
10008|a2|Kay q'aytuta ishkay ishkaymanta kuruy
10009|a6|Kanmi runakuna anchata yachankuman kikinkumanta wak runakunamantaqa.
10010|a1|Ichaqa  runakunaq allin kayninqa kanman kikinkuwan kusisqa kaypischá.
10011|a5|Wasi wasiman hamunki
10012|a1|Chay yuraq millwataqa pukamanmi tullpusaq.
10013|a1|Hamawt´akunan inkakunataqa yanapan llaqta pusariytaqa
10014|a2|Tintinqa wasimasinchispa sach'akunapin wiñan
10015|a1|Kay raqachaqa rumumanmi rikch’akun.
10016|a6|Ch’aki chikchipata mankaman raphillanta qhakuykuy, tulluntaqa wisch’upunki.
10017|a1|Raymi
10018|a1|Añanchaykiqa allinmi karan
10019|a5|Manan hayk´aqpas onqosqa runakunamantaqa asikunachu
10020|a6|Qoranawan ch’akmasaq
10021|a1|Millaypunin imaynatan taytakuna wawankuta maqanku
10022|a2|Raphi
10023|a5|Maqaq
10024|a1|Tayta mamay llaqtaman purinku
10025|a6|¡Yaw asnu runa, chayqa manam lloq'e makichu!
10026|a5|Umasapa wallpaqa chakrapin runturusqa
10027|a5|T’ika wiñashan
10028|a6|Kay wasiqa pusaq pachamanta kichakun
10029|a5|Phiña
10030|a2|Ninri
10031|a6|Mankaq sikinqa phatarusqan
10032|a1|T´oqo
10033|a1|Wakin runakunaqa  kikinninkuwan allin kayqa aswan sumaqpunin  ninkun.
10034|a1|Takiqkuna llaqtapi paqarin takinqaku
10035|a2|Llapanku aynipi yanapanakuspa llank'aranku
10036|a5|Nanay
10037|a2|Taytaykiwan rimarani
10038|a2|Kunan p'unchawqa manan kicharayanchu, hatun p´unchawmi.
10039|a2|Runa simillapi rimayta munani
10040|a6|Ch’aqipaqqa ch’uñuta pisillata ñut'una
10041|a5|Raymi
10042|a1|Alberton wañusqa atoqta tarisqa
10043|a1|Kay willakuyqa hukpa nisqanmi
10044|a2|Rit’ipi pukllanchis
10045|a1|Sasachaykuna
10046|a5|Kuraq wawqeykiman kay qhelqata aparuy
10047|a1|Sasachaykunkin imaymana tramitikunapaq
10048|a1|Harawiqa runaq kunkan ch´uya rimaymi| Huk t´oqway wakin munaymanta.
10049|a2|Hatun mankaman hich'ay unuta hinaspa astawan apamuy
10050|a2|Qolqesapa runaqa qorimanta otaq qolqe alakhamanta kirunta churachikun
10051|a1|Phuyukuna teqsimuyupi qhawasqanchis wayrapi unu sut´ukunan tuytuqmi kanku
10052|a1|Mana yuyayniyuq runakuna rimayninkuta  churayta munanku wakinman cheqninan kanan
10053|a6|Tukuy ima raymikuna apakun
10054|a6|San Pedro llaqtapiqa kurkukunata llaqllaspa munay tiyanakunata ruwanku.
10055|a5|K’usilluchaqa wawakunaq tukuy ima rurasqanta yachapayan
10056|a2|Makiypi k’irichayqa ña thanishanña
10057|a6|Sumaqllata yarqha patanta mana pukllaspalla hamunqa mana urmaykunapaq
10058|a2|Waskhakunata mañariway, sach’akunatan wit'usaq.
10059|a2|Mesa patapi tiyakushan
10060|a1|Rakhu p’achaqa chirimanta kurkunchista hark’an
10061|a1|Tarpunapaqñan noqaqa wayq'otaqa risaq
10062|a6|Juicion tukunankama wisq’asqa kanki
10063|a5|Ichaqa rinakunapi millay kanman uywaq ismusqa aychan qhway mushkhiy 
10064|a1|Sach´a sach´a ñanpi, wañusqa taruqaq qaranta tarisqaku huk trampapi hap´ichikusqa.
10065|a5|Wasi masiykuq ususichanmi kan
10066|a2|Pachatupu
10067|a2|Mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis
10068|a1|Killachay p’unchawpi llank’ani
10069|a1|Sapallanmi chay runaqa waqtuta ukyarapusqa
10070|a6|Wakamayuqa yaqa runakuna hinan riman.
10071|a4|Ayllu
10072|a2|Noqanchis yachaywasi ukhupi kashanchis
10073|a2|Chris manan ch´uya runachu.
10074|a5|Tullu
10075|a6|Mana kamachikuywanqa manan haykuwaqchu
10076|a6|Alqokunataqa washkhawanmi seq'ona
10077|a4|Tintin
10078|a1|Manan uywakitaqa rikunichu
10079|a5|Sapa p´unchay onqosqa mamanman watukuq risqa, mikhuchisqa, llapan tuta larunpi kasqa.
10080|a6|Imapas harawi kanmanmi pipas harawi ruwaq kanmanmi.
10081|a6|Waqayuspan ripun
10082|a2|Ama hina kaychu, apamuwanki t’antata
10083|a5|Qhelqaqa yuyaykunata qhelqanapaqmi allin
10084|a1|Wayna sipaskuna hamuychis
10085|a1|Runaq ñawpaq munakuyninqa aswan hatunmi chay munakuykunaqa ancha unaymi yurarikun. 
10086|a2|Aqtoq mushkhiynin, llimp´in pampapi kshaspa supay millaypunin.
10087|a1|Paka mallkiqa tuqurupiqa misk’i unu kan
10088|a6|Ñankunapi tiyaq runakuna chaka ukhupi puñunku sapa tuta.
10089|a6|Alberton wañusqa atoqta tarisqa
10090|a6|Ayriway killapi pachamaman mikhuchinchis
10091|a2|Onqoy
10092|a1|Kay wasiqa pusaq pachamanta kichakun
10093|a4|Seq'e
10094|a5|Ñawpaqqa thanta p'achakunallan t'oqoyuq karan
10095|a6|Mama qochapiqa tukuy ima challwakunan tarikun
10096|a1|K’aminakuyqa manan allinchu
10097|a2|Paqarinmi mamayqa ponchu awayta tukunqa
10098|a1|Maria, haqay mot’ita mikhumuy
10099|a2|Kullkuqa sach’a patakunamanta munayta takimun
10100|a5|Amu
10101|a1|Llaqtakunapi, asnapata rantiqtinchisqa,  asnapawanmi yapawanchis
10102|a1|Waqayuspan ripun
10103|a1|Mana samaspaqa apurayllan wañurapunchisman
10104|a5|Waka qaramantan tinya ruwakun
10105|a5|Suqta uyayuq pirwaqa machina sutiyuq
10106|a6|Atichaw
